event_time,event_type,product_id,category_id,category_code,brand,price,user_id,Session_id,Customer_id,Location,License_id,Session_start_datetime,Session_end_datetime,duration,License_start_date,License_end_date
2019-10-23 09:07:43,view,qucSviaxpX,1487580005134238553,,runail,8.25,25659307,RHbuRvaiE1GJcycY3QgkyVVRD,BvzLKM21IFOYsYvebV,"[38.0817, 13.2889]",3343358,2016-11-12 05:32:41,2016-11-12 05:39:41,7,2016-10-27 05:32:41,2017-04-25 05:32:41
2019-11-17 04:34:10,view,yChCy12yxn,1487580006300255120,,beautix,1.43,38520100,nyNR5x0ZNJZmZ2Rx4bt9tj9PE,XjQSWsYGOvVpTEYHDT,"[42.8644, -76.9827]",1891578,2019-10-23 14:33:41,2019-10-23 14:37:41,4,2019-10-04 14:33:41,2020-02-01 14:33:41
2020-01-06 19:46:09,view,daFJ6KLXeu,1487580013841613016,,italwax,1.73,48637695,fC3FV08XHXl5Mn1vmVu686c9s,wLUtDZ4oJytOKuLz5n,"[25.18, 75.83]",3527677,2019-01-18 01:29:07,2019-01-18 01:33:07,4,2018-12-15 01:29:07,2019-03-15 01:29:07
2019-11-13 08:04:26,cart,4tgMwYUJDt,1487580009496313889,,,15.71,17312151,cHgh8wh5CfJsfUG2IMz9wyZ0p,uQTOnqunqV5Znwujdh,"[35.2167, 137.0333]",1391693,2019-12-17 06:27:24,2019-12-17 06:28:24,1,2019-11-28 06:27:24,2020-03-27 06:27:24
2020-02-15 10:15:18,view,M66Ru9bzKI,1487580006073762693,,runail,1.43,26222834,loqOZSV0CDUSrdOjpL8gfSdyt,W0zCUjbB9uggwgXA4C,"[32.1919, 131.5258]",1455317,2017-07-11 11:00:54,2017-07-11 11:02:54,2,2017-06-26 11:00:54,2017-10-24 11:00:54
2019-11-21 09:03:34,cart,5inU1EqmHb,1487580005754995573,,,4.6,43195391,J5ik7FzlTT9PGSKbqFr1ZykXB,cWXRKDCOPcmXtQdETp,"[17.4, 104.8]",4414941,2017-01-19 14:07:29,2017-01-19 14:12:29,5,2016-12-17 14:07:29,2017-02-15 14:07:29
2019-11-29 21:58:30,view,15vPRmQTOj,1487580012902088873,,haruyama,3.97,12645112,wXFWlctgGfo34JNTh6mmUb6GD,EHgqHEfr8scaJ4jAUB,"[-6.1167, 141.3]",3716955,2016-07-26 09:21:54,2016-07-26 09:25:54,4,2016-07-10 09:21:54,2016-09-08 09:21:54
2020-02-16 14:32:51,view,jgUMOuJFcO,1487580010796548183,,estel,3.17,41896382,3WPrn9b0RFaoGpUsyl7OrfUPU,ON7ZL1H0nT51i8G7cY,"[51.0906, 2.9803]",4955841,2021-06-05 18:06:48,2021-06-05 18:10:48,4,2021-04-29 18:06:48,2021-08-27 18:06:48
2020-02-26 07:32:33,view,5BA1hvY1jy,2084144451428549153,,,3.57,20867736,mGEAczyToFPw06kBJ9VRaW7jN,cE1iKbX3DXajmvVpSx,"[61.4667, 23.65]",1102303,2019-02-23 20:59:53,2019-02-23 21:06:53,7,2019-02-08 20:59:53,2019-06-08 20:59:53
2020-01-19 15:26:00,cart,aew7prMtoh,1487580005754995573,,levrana,4.27,34549544,mjGCnBZmf5IIe2kAfuMpi3UD8,YL2KIQtUiKnVxW2RtZ,"[51.4008, 4.7611]",3636939,2015-03-03 11:03:18,2015-03-03 11:06:18,3,2015-01-27 11:03:18,2015-04-27 11:03:18
2019-10-25 14:43:33,cart,9UE0SRKTPj,1487580006317032337,,lianail,6.43,23973974,oxOgNipxTnbCBjY8MQd5ZiRFj,ZZwWN9CPcRa3VQJ7B0,"[46.7758, 24.7083]",4144501,2019-01-17 02:43:05,2019-01-17 02:44:05,1,2019-01-06 02:43:05,2019-06-05 02:43:05
2019-10-15 11:59:53,view,8S5wtB3mU5,1487580013069861041,,,4.44,12877347,xvJ6HBJU3SCrBC0jTOvJtAVHa,BuZhe0A9Eq8O9UUbaP,"[4.9151, 29.4769]",3131224,2020-10-28 17:12:45,2020-10-28 17:18:45,6,2020-10-01 17:12:45,2020-12-30 17:12:45
2019-12-23 18:25:23,cart,gthJH9IbAP,1487580013858390233,,kapous,2.22,31703151,bzkdOoEIVDp02UWJfeEoV93Et,oIwR7BlqI0cm7v94Ev,"[10.45, 38.2]",3127605,2015-12-22 07:08:10,2015-12-22 07:13:10,5,2015-11-23 07:08:10,2016-01-22 07:08:10
2020-01-03 17:04:49,remove_from_cart,4lnGXIza4r,1487580005385896804,,cosmoprofi,7.46,23399908,9ENvCSnoX0WaXydMiSjlL0jDX,xqeTVPykOQFGft36GL,"[35.1817, -84.8707]",4958060,2017-02-25 15:51:38,2017-02-25 15:56:38,5,2017-02-15 15:51:38,2017-04-16 15:51:38
2019-11-10 06:59:03,cart,jMGRGU8oGX,1487580005268456287,,,15.79,28179229,OAIVXoJAQBzd2vP7QLUJdA3BM,7OPrQsUB1y56DWrbG4,"[39.535, -85.7792]",2702116,2017-04-19 07:11:32,2017-04-19 07:18:32,7,2017-03-10 07:11:32,2017-08-07 07:11:32
2019-12-02 07:25:48,cart,0Fv2fsYkfO,1487580011702517887,,,137.78,48255939,9G0prKSi7Gw1ivapJ9Oek1oEd,IgoAxmAwZbILOeJHyk,"[14.7328, -6.1219]",4827296,2016-02-01 22:26:45,2016-02-01 22:28:45,2,2015-12-25 22:26:45,2016-02-23 22:26:45
2019-12-20 09:47:13,remove_from_cart,ctEogOEhAg,1487580010561667147,,,0.79,32650900,yiFUB5nEHF9LxUe2Y4EJ5A31R,qk57z8ubNB8CSCscO8,"[41.7264, 13.3422]",1196868,2021-07-27 01:37:20,2021-07-27 01:43:20,6,2021-06-24 01:37:20,2021-10-22 01:37:20
2019-11-16 21:15:42,cart,juSA4AbTak,1487580005461394279,,,8.29,18413230,3omhMHrFwlJO5Uh66nPneCOzn,4Ugqxw4b8X2fCz8YdJ,"[45.2, 33.3583]",4071077,2017-10-14 21:03:40,2017-10-14 21:04:40,1,2017-09-23 21:03:40,2018-01-21 21:03:40
2019-10-09 11:04:50,view,P28tnbtqZm,1487580010645553231,,pnb,9.52,15216669,17QxTh9Ze1ngtl7uN4UjVKQpy,IC7AZg2oDKZRm17Uau,"[25.5909, 106.3163]",2503605,2020-10-18 07:05:30,2020-10-18 07:12:30,7,2020-09-12 07:05:30,2021-01-10 07:05:30
